Source,WORD,AoA (Yrs),AoA (100-700),IMG,FAM,Length (Letters),,,,,,,,,
BN,barely,6.70,393,261,562,6,,,,,,,,,
GL,bargain,NA,552,505,552,7,,,,,,,,,
BN,bark,4.80,261,540,492,4,,,,,,,,,
GL,barn,NA,466,589,466,4,,,,,,,,,
GL,baron,NA,339,498,339,5,,,,,,,,,
BN,baroque,10.90,667,243,375,7,,,,,,,,,
BN,barrage,9.10,551,331,398,7,,,,,,,,,
GL,barrel,NA,487,602,487,6,,,,,,,,,
GL,base,NA,520,436,520,4,,,,,,,,,
GL,basin,NA,504,542,504,5,,,,,,,,,
BN,bass,8.00,493,429,454,4,,,,,,,,,
BN,bastard,9.30,560,305,611,7,,,,,,,,,
BN,bath,3.60,200,664,587,4,,,,,,,,,
GL,bath,NA,599,601,599,4,,,,,,,,,
GL,bay,NA,474,570,474,3,,,,,,,,,
GL,bayonet,NA,293,548,293,7,,,,,,,,,
BN,beach,4.40,232,660,541,5,,,,,,,,,
BN,beagle,9.90,594,362,398,6,,,,,,,,,
BN,beak,5.20,263,579,450,4,,,,,,,,,
BN,beaker,5.20,298,570,449,6,,,,,,,,,
GL,beam,NA,476,539,476,4,,,,,,,,,
BN,beard,4.90,260,631,480,5,,,,,,,,,
GL,beast,NA,456,558,456,5,,,,,,,,,
GL,beau,NA,242,394,242,4,,,,,,,,,
GL,beauty,NA,561,513,561,6,,,,,,,,,
BN,become,5.80,331,105,614,6,,,,,,,,,
GL,bed,NA,636,635,636,3,,,,,,,,,
GL,bedroom,NA,646,629,646,7,,,,,,,,,
BN,beech,7.70,459,430,414,5,,,,,,,,,
BN,beef,5.10,276,625,551,4,,,,,,,,,
GL,beehive,NA,398,572,398,7,,,,,,,,,
BN,beer,6.50,361,627,642,4,,,,,,,,,
BN,befall,10.10,640,190,392,6,,,,,,,,,
GL,beggar,NA,435,593,435,6,,,,,,,,,
GL,beginning,NA,593,359,593,9,,,,,,,,,
BN,behalf,8.10,493,174,486,6,,,,,,,,,
GL,behaviour,NA,573,351,573,9,,,,,,,,,
BN,behind,4.40,243,384,603,6,,,,,,,,,
GL,being,NA,568,323,568,5,,,,,,,,,
GL,belief,NA,554,328,554,6,,,,,,,,,
BN,bell,4.50,241,566,495,4,,,,,,,,,
BN,belly,4.90,255,590,529,5,,,,,,,,,
GL,beloved,NA,406,456,406,7,,,,,,,,,
BN,belt,4.90,268,585,577,4,,,,,,,,,
GL,bench,NA,488,555,488,5,,,,,,,,,
BN,bend,4.70,252,468,546,4,,,,,,,,,
GL,benefactor,NA,356,345,356,10,,,,,,,,,
BN,bent,5.20,299,371,533,4,,,,,,,,,
GL,benzene,NA,318,418,318,7,,,,,,,,,
GL,bequest,NA,316,294,316,7,,,,,,,,,
GL,berry,NA,470,551,470,5,,,,,,,,,
GL,besieger,NA,255,335,255,8,,,,,,,,,
GL,bet,NA,527,453,527,3,,,,,,,,,
GL,betrayal,NA,392,358,392,8,,,,,,,,,
GL,betterment,NA,293,310,293,10,,,,,,,,,
BN,beware,6.10,349,290,503,6,,,,,,,,,
GL,bewilderment,NA,421,407,421,12,,,,,,,,,
GL,bid,NA,473,394,473,3,,,,,,,,,
BN,bike,4.00,199,649,591,4,,,,,,,,,-
GL,bill,NA,552,535,552,4,,,,,,,,,
BN,billion,7.10,428,317,506,7,,,,,,,,,
GL,bin,NA,580,562,580,3,,,,,,,,,
GL,bird,NA,592,614,592,4,,,,,,,,,
GL,birth,NA,527,532,527,5,,,,,,,,,
BN,bishop,6.90,415,585,402,6,,,,,,,,,
BN,bitch,8.50,518,352,580,5,,,,,,,,,
GL,bite,NA,593,553,593,4,,,,,,,,,
BN,bitter,6.70,400,404,530,6,,,,,,,,,
GL,bitterness,NA,430,378,430,10,,,,,,,,,
BN,bizarre,8.80,546,263,520,7,,,,,,,,,
GL,blade,NA,517,568,517,5,,,,,,,,,
BN,blame,5.60,309,352,559,5,,,,,,,,,
GL,blame,NA,541,356,541,5,,,,,,,,,
BN,bland,8.20,487,256,478,5,,,,,,,,,
BN,blank,6.20,354,384,537,5,,,,,,,,,
GL,blanket,NA,563,582,563,7,,,,,,,,,
BN,blast,5.80,335,445,468,5,,,,,,,,,
BN,blaze,7.10,414,481,456,5,,,,,,,,,
BN,blazer,7.80,470,499,445,6,,,,,,,,,
BN,bleak,8.20,502,395,432,5,,,,,,,,,
BN,blend,6.40,367,315,501,5,,,,,,,,,
BN,bless,6.10,366,299,503,5,,,,,,,,,
GL,blessing,NA,483,422,483,8,,,,,,,,,
BN,blew,6.20,361,327,494,4,,,,,,,,,
BN,blind,5.20,275,396,495,5,,,,,,,,,
BN,bliss,8.20,507,377,489,5,,,,,,,,,
GL,block,NA,544,483,544,5,,,,,,,,,
BN,bloke,8.00,459,571,617,5,,,,,,,,,
BN,blond,5.60,303,579,606,5,,,,,,,,,
BN,blonde,5.30,289,632,606,6,,,,,,,,,
GL,blood,NA,571,620,571,5,,,,,,,,,
BN,bloody,6.00,342,540,546,6,,,,,,,,,
GL,bloom,NA,426,524,426,5,,,,,,,,,
BN,blouse,5.60,313,605,468,6,,,,,,,,,
BN,blow,4.90,259,399,536,4,,,,,,,,,
BN,blown,5.60,308,343,535,5,,,,,,,,,
GL,bluebell,NA,416,605,416,8,,,,,,,,,
BN,bluff,8.00,493,217,462,5,,,,,,,,,
BN,blunder,9.30,587,274,413,7,,,,,,,,,
BN,blunt,6.30,393,395,502,5,,,,,,,,,
GL,blush,NA,535,551,535,5,,,,,,,,,
BN,board,5.60,299,442,529,5,,,,,,,,,
GL,boast,NA,491,416,491,5,,,,,,,,,
GL,boatswain,NA,230,343,230,9,,,,,,,,,
GL,body,NA,610,614,610,4,,,,,,,,,
BN,boiler,6.90,407,530,504,6,,,,,,,,,
BN,bold,6.50,387,384,493,4,,,,,,,,,
GL,bolt,NA,466,551,466,4,,,,,,,,,
BN,bomber,8.30,523,455,435,6,,,,,,,,,
GL,bond,NA,454,380,454,4,,,,,,,,,
BN,bondage,11.20,675,473,442,7,,,,,,,,,
BN,bone,4.80,261,625,525,4,,,,,,,,,
BN,bonus,7.70,459,325,523,5,,,,,,,,,
GL,book,NA,643,591,643,4,,,,,,,,,
BN,boom,5.50,315,449,465,4,,,,,,,,,
BN,boost,7.10,406,278,469,5,,,,,,,,,
GL,boot,NA,566,604,566,4,,,,,,,,,
GL,booth,NA,444,486,444,5,,,,,,,,,
GL,border,NA,489,453,489,6,,,,,,,,,
BN,bore,7.20,428,214,473,4,,,,,,,,,
BN,boredom,6.50,386,305,562,7,,,,,,,,,
BN,boring,5.10,275,293,641,6,,,,,,,,,
BN,born,4.60,245,427,532,4,,,,,,,,,
BN,borne,9.80,631,191,413,5,,,,,,,,,
GL,bosom,NA,425,593,425,5,,,,,,,,,
BN,boss,6.60,380,468,527,4,,,,,,,,,
GL,bother,NA,583,369,583,6,,,,,,,,,
BN,bottom,4.40,227,505,608,6,,,,,,,,,
BN,bought,5.30,283,283,630,6,,,,,,,,,
BN,bounce,4.80,266,481,508,6,,,,,,,,,
BN,bouncy,4.90,261,475,494,6,,,,,,,,,
BN,bound,7.30,433,282,476,5,,,,,,,,,
GL,boundary,NA,481,435,481,8,,,,,,,,,
BN,bout,10.60,665,195,412,4,,,,,,,,,
GL,bow,NA,489,546,489,3,,,,,,,,,
BN,bowel,8.80,538,396,434,5,,,,,,,,,
GL,bowl,NA,557,579,557,4,,,,,,,,,
GL,box,NA,599,591,599,3,,,,,,,,,
BN,boxing,6.20,342,630,472,6,,,,,,,,,
BN,boycott,10.00,600,235,434,7,,,,,,,,,
BN,bracket,7.70,480,435,469,7,,,,,,,,,
GL,brain,NA,580,572,580,5,,,,,,,,,
GL,branch,NA,529,548,529,6,,,,,,,,,
BN,brand,7.80,477,260,534,5,,,,,,,,,
GL,brass,NA,469,524,469,5,,,,,,,,,
BN,brave,4.60,241,329,517,5,,,,,,,,,
GL,brawl,NA,418,485,418,5,,,,,,,,,
BN,brazen,10.80,683,269,395,6,,,,,,,,,
BN,brazier,10.30,623,196,379,7,,,,,,,,,
BN,breach,9.50,590,238,421,6,,,,,,,,,
BN,bread,3.50,183,650,636,5,,,,,,,,,
GL,breakfast,NA,657,586,657,9,,,,,,,,,
BN,breast,9.70,428,590,555,6,,,,,,,,,
GL,breath,NA,572,480,572,6,,,,,,,,,
GL,breeze,NA,511,560,511,6,,,,,,,,,
BN,brewer,7.00,570,396,411,6,,,,,,,,,
BN,bribe,9.30,531,269,471,5,,,,,,,,,
GL,brick,NA,529,574,529,5,,,,,,,,,
BN,bride,8.50,330,668,501,5,,,,,,,,,
GL,bridge,NA,561,608,561,6,,,,,,,,,
GL,brigand,NA,270,332,270,7,,,,,,,,,
GL,brim,NA,430,510,430,4,,,,,,,,,
BN,brink,8.70,523,246,421,5,,,,,,,,,
BN,brisk,7.10,414,257,479,5,,,,,,,,,
GL,bristle,NA,461,562,461,7,,,,,,,,,
BN,broad,7.60,439,315,514,5,,,,,,,,,
GL,brocade,NA,298,416,298,7,,,,,,,,,
BN,broke,11.40,283,358,584,5,,,,,,,,,
BN,bronze,6.80,401,511,433,6,,,,,,,,,
GL,brook,NA,384,597,384,5,,,,,,,,,
BN,broom,5.50,313,595,499,5,,,,,,,,,
GL,brother,NA,598,589,598,7,,,,,,,,,
BN,brow,7.80,473,425,449,4,,,,,,,,,
GL,brownie,NA,386,553,386,7,,,,,,,,,
GL,brush,NA,579,570,579,5,,,,,,,,,
BN,brute,8.20,491,299,425,5,,,,,,,,,
GL,bubble,NA,508,604,508,6,,,,,,,,,
BN,buck,8.50,524,425,392,4,,,,,,,,,
GL,bud,NA,465,508,465,3,,,,,,,,,
GL,budget,NA,517,394,517,6,,,,,,,,,
GL,buffer,NA,402,459,402,6,,,,,,,,,
BN,build,4.40,240,400,562,5,,,,,,,,,
GL,building,NA,607,578,607,8,,,,,,,,,
BN,bulb,5.50,293,611,510,4,,,,,,,,,
BN,bulge,7.50,444,475,460,5,,,,,,,,,
BN,bulk,7.20,407,372,459,4,,,,,,,,,
GL,bulldog,NA,370,583,370,7,,,,,,,,,
BN,bullet,6.50,376,608,443,6,,,,,,,,,
BN,bumble,6.70,393,300,423,6,,,,,,,,,
BN,bump,4.20,221,446,495,4,,,,,,,,,
GL,bunch,NA,503,486,503,5,,,,,,,,,
BN,bundle,5.80,333,459,476,6,,,,,,,,,
BN,bunk,5.50,303,341,440,4,,,,,,,,,
GL,burden,NA,446,499,446,6,,,,,,,,,
GL,bureau,NA,395,497,395,6,,,,,,,,,
BN,burglar,4.90,282,591,486,7,,,,,,,,,
GL,burial,NA,400,544,400,6,,,,,,,,,
GL,burn,NA,548,541,548,4,,,,,,,,,
BN,burner,7.10,433,403,433,6,,,,,,,,,
BN,burnt,5.40,310,463,543,5,,,,,,,,,
BN,burst,5.70,308,388,514,5,,,,,,,,,
BN,bury,5.30,282,402,488,4,,,,,,,,,
GL,bush,NA,532,549,532,4,,,,,,,,,
GL,business,NA,563,441,563,8,,,,,,,,,
BN,bust,7.10,422,430,482,4,,,,,,,,,
BN,busy,5.20,282,305,621,4,,,,,,,,,
BN,butch,9.60,600,433,456,5,,,,,,,,,
BN,butler,7.10,414,517,415,6,,,,,,,,,
BN,butt,7.60,466,510,492,4,,,,,,,,,
GL,butter,NA,615,603,615,6,,,,,,,,,
GL,button,NA,573,580,573,6,,,,,,,,,
GL,cabinet,NA,472,524,472,7,,,,,,,,,
GL,cache,NA,259,303,259,5,,,,,,,,,
BN,caddie,9.00,544,368,381,6,,,,,,,,,
BN,caddy,9.60,566,426,418,5,,,,,,,,,
GL,cage,NA,487,585,487,4,,,,,,,,,
GL,cake,NA,594,624,594,4,,,,,,,,,
BN,calcium,8.90,540,293,465,7,,,,,,,,,
GL,calculus,NA,364,435,364,8,,,,,,,,,
BN,calf,5.70,331,559,454,4,,,,,,,,,
GL,call,NA,599,424,599,4,,,,,,,,,
BN,calm,5.90,331,366,562,4,,,,,,,,,
GL,calmness,NA,452,437,452,8,,,,,,,,,
BN,camel,5.50,315,648,426,5,,,,,,,,,
GL,camp,NA,541,588,541,4,,,,,,,,,
BN,camper,7.10,426,482,424,6,,,,,,,,,
BN,campus,10.50,634,421,540,6,,,,,,,,,
GL,canal,NA,464,588,464,5,,,,,,,,,
BN,cancer,8.30,500,429,527,6,,,,,,,,,
GL,candidate,NA,488,452,488,9,,,,,,,,,
GL,candlelight,NA,439,599,439,11,,,,,,,,,
BN,candy,4.30,236,575,447,5,,,,,,,,,
BN,cane,6.20,348,543,443,4,,,,,,,,,
BN,cannon,6.10,333,615,427,6,,,,,,,,,
GL,canoe,NA,441,602,441,5,,,,,,,,,
GL,canteen,NA,490,540,490,7,,,,,,,,,
BN,canyon,8.60,520,566,415,6,,,,,,,,,
BN,cape,5.70,319,520,428,4,,,,,,,,,
GL,capital,NA,538,518,538,7,,,,,,,,,
GL,capitulate,NA,311,262,311,10,,,,,,,,,
BN,captive,7.80,467,360,453,7,,,,,,,,,
BN,capture,6.40,366,338,464,7,,,,,,,,,
GL,car,NA,634,638,634,3,,,,,,,,,
BN,carat,9.50,585,283,384,5,,,,,,,,,
GL,carbohydrate,NA,461,461,461,12,,,,,,,,,
BN,carbon,10.30,656,390,443,6,,,,,,,,,
BN,card,4.60,245,576,562,4,,,,,,,,,
GL,career,NA,589,418,589,6,,,,,,,,,
BN,careful,5.10,293,252,610,7,,,,,,,,,
GL,carnage,NA,298,351,298,7,,,,,,,,,
BN,carol,5.30,289,372,422,5,,,,,,,,,
BN,carp,9.10,553,360,373,4,,,,,,,,,
GL,carriage,NA,436,529,436,8,,,,,,,,,
BN,carry,4.70,248,341,586,5,,,,,,,,,
GL,cart,NA,454,597,454,4,,,,,,,,,
GL,cartilage,NA,396,421,396,9,,,,,,,,,
BN,carver,8.80,564,285,402,6,,,,,,,,,
GL,case,NA,553,517,553,4,,,,,,,,,
BN,cash,6.10,342,575,666,4,,,,,,,,,
BN,cashier,7.30,435,493,514,7,,,,,,,,,
GL,casque,NA,265,280,265,6,,,,,,,,,
GL,castor,NA,365,429,365,6,,,,,,,,,
BN,casual,7.30,426,323,580,6,,,,,,,,,
GL,catastrophe,NA,428,435,428,11,,,,,,,,,
BN,catch,6.80,256,425,561,5,,,,,,,,,
GL,catfish,NA,416,544,416,7,,,,,,,,,
BN,cathode,12.10,700,400,371,7,,,,,,,,,
GL,cattle,NA,511,619,511,6,,,,,,,,,
GL,cause,NA,557,282,557,5,,,,,,,,,
BN,caution,7.20,426,269,513,7,,,,,,,,,
BN,cave,5.50,291,589,457,4,,,,,,,,,
GL,cavern,NA,400,548,400,6,,,,,,,,,
BN,cease,9.10,562,214,449,5,,,,,,,,,
GL,cedar,NA,381,516,381,5,,,,,,,,,
BN,ceiling,5.50,308,587,504,7,,,,,,,,,
BN,cell,8.10,500,469,503,4,,,,,,,,,
GL,cellar,NA,467,572,467,6,,,,,,,,,
BN,cello,6.80,392,613,406,5,,,,,,,,,
BN,cement,6.60,393,525,473,6,,,,,,,,,
GL,cent,NA,473,518,473,4,,,,,,,,,
GL,century,NA,514,395,514,7,,,,,,,,,
BN,cereal,4.50,245,608,621,6,,,,,,,,,
GL,ceremony,NA,501,523,501,8,,,,,,,,,
GL,certificate,NA,488,529,488,11,,,,,,,,,
BN,cervix,11.50,700,465,404,6,,,,,,,,,
GL,chain,NA,513,559,513,5,,,,,,,,,
BN,chalice,10.20,623,372,382,7,,,,,,,,,
BN,chalk,4.80,260,603,432,5,,,,,,,,,
GL,challenge,NA,515,402,515,9,,,,,,,,,
GL,champion,NA,507,508,507,8,,,,,,,,,
GL,channel,NA,482,508,482,7,,,,,,,,,
BN,chaos,6.90,401,426,499,5,,,,,,,,,
GL,chapel,NA,471,560,471,6,,,,,,,,,
GL,character,NA,551,372,551,9,,,,,,,,,
BN,charge,6.50,366,257,583,6,,,,,,,,,
GL,charity,NA,518,445,518,7,,,,,,,,,
GL,charm,NA,514,455,514,5,,,,,,,,,
